example_id,customer_message,intent,intent_notes,expected_action,reference_response,difficulty,turn_count
93,"@AmazonHelp did somebody steal the parcel using or was the email maybe sent out by mistake? can i DM you order details?
@AmazonHelp just got an email telling me my parcel has been collected but I haven‘t collected it?!",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,5
94,"[USER_ID] comment fait on pour vous contactez? le numéro 08 00 94 77 15 n'est plus attribuer, on m'a piraté mon compte hier! 😡",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
95,ずっと韓ドラをTSUTAYAで借りてたけど、Amazonプライム会員になってから財布気にすることなくいっぱい見れてる！,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
96,"@AmazonHelp Ever since you switched from using mostly UPS to USPS in my area. Maybe my local USPS is overwhelmed, though their Sunday delivery is nice.
@AmazonHelp Yes, I do. Usually I don't whine for whining's sake. Santa doesn't like that.
@AmazonHelp Yes, I do know the difference. Yes you have missed it consistently since the beginning of this year. Once it's shipped, your 2-day transit time is either 2 or 3 or 4. Very hit or miss.
.[USER_ID] You should change your Amazon Prime 2-day delivery to within 2 of 2-day delivery. It's been a while since you delivered on time in my area.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,8
97,"@AmazonHelp No vinay has sorted it. Thanks
[USER_ID] why cant I reply to an email from customer service?",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
98,Not sure this is the best way to leave a parcel on a busy main road [USER_ID]  #suchasafeplace [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
99,"@AmazonHelp Yeah... OK. I’ve been a Prime member for a long time, and I just remember when I used to get my items in 2 days. Feels like that 2-day shipping policy has “evolved” over time, and not in a customer friendly way.
[USER_ID] So, if I order an item with Prime “2-day shipping” on Thursday at 1PM EST, why is it guaranteed to be delivered by the following Tuesday?? That’s NOT 2 days. That’s not even 4 days. It’s Prime 5-day shipping! You’ve been slipping for awhile now, #Amazon. Get it together!!",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
100,"@AmazonHelp When no one can contact me then how can I refused to take delivery. 
Your message is received that I can refused delivery.
@AmazonHelp Many time contact. But main things is that your delivery agency misbehaving .
@AmazonHelp Refund is received 259 .
Item purchase price 285
Order cancel by mistake of your. 
&amp; You deducted 25. 
What's my fault?
[USER_ID]  my order is return due refusing delivery by me. But no one can contact me or come, then how can it happen to refused it.  My
Order No. Is '[PHONE]-0735520'
@AmazonHelp Refund is received 259 .
Item purchase price 285
Order cancel by mistake of your. 
&amp; You deducted 25. 
What's my fault?",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,10
101,[USER_ID] very poor service and cheating done by amazon.,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
102,"[USER_ID] Support sucks! Sent TWO orders to wrong carrier facility on Friday which were supposed to arrive on Sunday. All chat support can say is ""Sorry"" and wait until it arrives! No way to track where the two orders even are at this point!

Piss poor customer service!!",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
103,"AmazonでCOD頼んだけどめっちゃ届くの遅い( ´･ω･`)
3か月前に注文してたはずなのに",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,3
104,.[USER_ID] The great Indian chutiyapa ....Will you even bother to answer this empty packet with NO WATCH? [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
105,[USER_ID] I preordered a book that should have came yesterday and now it says it won’t come till the 28th. What is the point of preordering if the book isn’t going to come on time.,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
106,"@AmazonHelp Venditore marketplace, con corriere Amazon Logistics
Ordino due libri, [USER_ID] mi ritarda la consegna di 10 giorni, al decimo giorno ancora nessun pacco alla porta. Chiedo rimborso spese di spedizione, non è mai arrivato. OK.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
107,[USER_ID] can u pls update on delivery status? No update for entire day [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
108,"Got an email from [USER_ID] ""your parcel has been left in safe place"" and sends me this photo. An expensive item and you have left it like that? [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
109,"@AmazonHelp I understand. But these items (baby diapers) were devoid of delivery charges till last month. Now, ALL vendors are charging.
@AmazonHelp And no one is delivering before 5 days. Noticed this since a few weeks. Why the change?
@AmazonHelp Thanks. Hope to see a change soon. Or I'll be compelled to buy stuff from brick &amp; mortar stores.
[USER_ID] I used to buy stuff at 0 delivery charges with Prime, delivered the next day. Now, I'm paying 75-100 bucks for a 7-day delivery!",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,7
110,"アマゾンでゲーム買おう思ったら、商品情報ではコンビニ支払い出来るて書いとるのに、レジでは選択出来ん。
何でや！",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,2
111,Amazon India site down? [USER_ID],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
112,[USER_ID] ...Mene 30 Sept se phone pick up ke liye request bhej di hai ..Pr apki or se koi rpy nahi a raha ..Sivay ke wait kro.....,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
113,Nice job [USER_ID] @AmazonHelp #FAIL [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
114,"[USER_ID]  [USER_ID] 
Too many books I buy - Too many plastic wraps I had to dispose. Can't it be made a little eco-friendly? 🤔 [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
115,[USER_ID] I had a very bad experience with your customer rep. I was not able to deny delivery of the phone because it was given to the mail room without my consent. ORDER # [PHONE]-9492339,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
116,"Hi [USER_ID],

Could you please either hide the home bar in your iOS app or give us an option to? I’m reading at night and, as you can see, it’s easily the brightest thing on the page. #TheBeaconsAreLit #GondorCallsForAid [URL]",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,2
117,"@AmazonHelp [USER_ID]
Having so much trouble with @amazonhelp recently had 3 parcels ‘delivered’ and none are anywhere to be seen but apparently handed to me....",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,3
118,"@AmazonHelp Wenn Ihr denn auch die Befüllung liefern könnt?! Oh wait... Da war irgendwas so vong Gesetzgebung her 😂😂😂😂😂
Erm [USER_ID], was wollt Ihr mir eigentlich sagen? Das kann echt kein Remarketing gewesen sein; was war da denn die Datenquelle?! Mein verpeiltes Rumgeklicke in Eurer App?! 😂😂😂 #SEA #OnlineMarketing [URL]",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,3
119,"@AmazonHelp supposed to be delivered today and now app is saying won’t be here until Wednesday possibly. On line with CS
Literally cannot even being to explain how disappointed I am with Amazon prime. Like I need this item for my event tomorrow. @AmazonHelp",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,4
120,"@AmazonHelp [USER_ID] dear team you are [URL] guys world's best customer service company. I really appreciate ur work and honesty.tnx
@AmazonHelp dear they refused for any latter. I send their visiting card plz cross chack
@AmazonHelp since last 27 October  I am trying to get proper solution.
[USER_ID] [USER_ID] I buy 1 year warranty period phone n now ur team ask 4 go to local shop n repair the phone even product is in warranty
@AmazonHelp no need to this as today ur team said go to local shop and repair product. Seller paid bill. Why I go local shop for this prodct
@AmazonHelp service center clearly said dat dis model is old so we dint give any service ur team said go to loacal shop n seller paid chargs
@AmazonHelp @8105 product is in warranty period. Service center refuse for service then why you sell this type product on ur site
[USER_ID] [USER_ID] Amazon.in Order # [PHONE]-6277910",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",medium,13
121,"@AmazonHelp Yes I'm. I would have been happier had this order not taken so long. Thanks anyway.
[USER_ID] Ok Amazon order was successful just after I sent this tweet.
[USER_ID] could you please check why order [PHONE]-2018701 is still in pending status? How long will it take to get benefits activated?",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,5
122,"@AmazonHelp But the link took me to this..... [URL]
@AmazonHelp Oh I went on the contact thing, that’s useless, still no answers
[USER_ID] hi, my Amazon Echos have apparently been “arriving today” for the last 3 days!?! What’s happening?",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",medium,6
123,"@AmazonHelp Getting errora [URL]
@AmazonHelp Yes I am located in Canada
@AmazonHelp having problems",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",medium,6
124,"@AmazonHelp  [URL]
@AmazonHelp I have tried Jaipur Rajasthan as well as Delhi.
@AmazonHelp [USER_ID] Getting error while buying this book. resolve the issues [URL]",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",medium,6
125,"[USER_ID] I get drivers are busy as hell people, but that's not cool. I sometimes wonder with prime how worth it is these days. 3/3
[USER_ID] there's also the fact I've been indoors all day with barely any noise and the little bugger delivered it without knocking 2/3
I swear [USER_ID] delivery drivers get worse and worse, name is on the box, the delivery recipient is massively misspelled 1/?",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",medium,4
126,"o app novo do [USER_ID] está sensacional. finalmente olharam pra ele, que tava bem esquecido no churrasco",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,2
127,"[USER_ID] package 4 another person delivered to my house, what should I do? Your in-app customer service options are useless and frustrating",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,2
128,Very disappointed to receive fake [USER_ID] power pack from @3710 [USER_ID]. [URL],technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,2
129,"@AmazonHelp Thats a standard reply and i am not satisfied with the same and would like to file a complaint to escalate further
@AmazonHelp I have explained the issur in detail that it was a technical fault at ur end which was accepted by ur call centre
@AmazonHelp No call back or resolution recieved😡
@AmazonHelp Have updated my details
[USER_ID] There was no error the exchange offer was displayed on the product but when i wanted to avail it the exchange tab was not appearing
[USER_ID]  such shabby service offer of extra 4k on exchange displayed on app &amp; customer cant avail bcoz of technical issue at ur end [URL]
@AmazonHelp As a part of the sale running there was an extra 4k on exchang on oneplus 5 phone now due to some issue at ur end im not able to avail it
@AmazonHelp I think u r missing the point here the ..its not about availability ur team confirmed that there is some technical issue amazons end
@AmazonHelp Sorry but that does not help..because of a fault of amazon im loosing 4000 nd i expect a compensation",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",medium,22
130,"[USER_ID]  Guys Check rates properly before buying. Cheating full on xD #Nokia6  on @1107 website cost's Rs.14,999 How Amazon  Saying Nokia 6 costs M.R.P.:   17,199.00
Price:   14,999.00  FREE Delivery.Details
You Save:   2,200.00 (13%) #AmazonObhijaan #AmazonGiveaway #Amazon [URL]",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,2
131,"@AmazonHelp Gracias por la pronta respuesta. Tendran App para Xbox One??
[USER_ID] Cuando lanzaran alguna App para Roku TV en México????",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,4
132,"[USER_ID] amazon.in site and app, both are down????",technical_issue,Auto-classified by keyword matching,auto_handle,"We're sorry for the inconvenience. Please try clearing your browser cache or restarting the app. If the issue persists, please contact our support team.",easy,2
133,"@AmazonHelp The shipping option I selected at checkout was for the two day prime shipping I pay $$ for every year.
@AmazonHelp No, but that was only updated today after I called and demanded to know why the product I ordered a week ago had not arrived.
@AmazonHelp please explain to me how the two day prime shipping I pay for results in not receiving my order for nine days #amazon",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,5
134,"@AmazonHelp while, they have bad reviews and not selling the products in proper ways. check their bad review chart attached herein this tweet. [USER_ID] [URL]
@AmazonHelp [USER_ID] I am still waiting for the reply of @amazonHELP
@AmazonHelp Thanks for your reply. I already contacted them but they were disputing with me and not providing me proper resolution. Secondary, i never mind if it happens once. But it happens twice with me. Why are you selling the products of go4shopping.
[USER_ID], now amazon started stealing the money from India. I placed the order for 2 product but received one. Check video below and be aware before placing the order. its been twice with me. [USER_ID] #amazon #Flipkart [URL]",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",medium,7
135,"@AmazonHelp I have DM the details
[USER_ID] @AmazonHelp I paid RS 100/- and RS 999/- for prime. To make sure my package reaches in the shortest period. What I see you have rescheduled my delivery on your own without my confirmation. Kindly deliver my package asap
@AmazonHelp I would be happy if you take some pain and identify what has happened. I have shared the tracking details in DM
@AmazonHelp Kindly check my details and let me know
After paying I shouldn't drop mails to 10 places and follow up.
@AmazonHelp Sent
@AmazonHelp I have shared the details, I m really upset that I rcd a new message that your delivery is delayed by 4 days. [USER_ID] pls interfere
@AmazonHelp You can keep saying that
What will I do I can't understand",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",medium,14
136,"@AmazonHelp No, I have tried tweeting @upshelp. My packages keep going on the truck for delivery and then back again. It’s happened to at least 4 or 5 shipments this week. Needed 3 of them before Monday for a donation, now I’ll have to get elsewhere.
@AmazonHelp Will do, thank you.
[USER_ID] my packages are now back at Oakland again. This is ridiculous. Was supposed to receive some by this past Wednesday and now estimated delivery is next Tuesday, way too late.
@UPSHelp It’s 9 pm and still no sign of 4 packages that have been out for delivery all day.
@upshelp what’s happening when my packages are “out for delivery” but never make it? I’ve had multiple packages this week where this has happened, including one that has been “out for delivery” 3 days in a row. Never had this many issues before.",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",medium,7
137,"@AmazonHelp The delivery date given in the order confirmation email from amazon, as well as the shipping confirmation email, was today by 8pm.
@AmazonHelp My order page still says it’ll be delivered today! [URL]
@AmazonHelp Only when you go to [URL] with the tracking number do you see that the package will now be delivered tomorrow.
So many reasons to be reconsider being an [USER_ID] Prime member lately, but man the way they fake free two-day shipping more and more 😑😑",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",medium,6
138,"@AmazonHelp One was delivered through Amazon's delivery service and the other by UPS.
@AmazonHelp Yes, they missed the given delivery date from the checkout screen. No emails were sent about it being late either.
[USER_ID] @AmazonHelp A little disappointed the last 2 out of 3 orders I've placed with Amazon Prime have shown up 2 days late.",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",medium,6
139,"[USER_ID] [USER_ID] tell me this, why are you shadowing the issue by calling it a damaged product was delivered? The product was not delivered at all as the delivery person decided he won't come to the location and asked me to visit the bus stand to collect the product. 1/n [URL]
[USER_ID] your image is being shattered by your delivery men twice in 7days, first with order number [PHONE]-4018711, a two-day delivery product which was delayed by the delivery guy by 2 days and now today 1/n",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,5
140,"@AmazonHelp this order was delayed - Order #   [PHONE]-9110651
@AmazonHelp - Amazon prime srvce has degraded so much in recent past, every second order is getting delayed, why are we paying money! [URL]",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,4
141,"@AmazonHelp Already done that 4 times. Still can't get a proper answer to my query and every time , I've reported there i got reply as to wait till the end of the day. It's a prime delivery and i should receive it in a day. It's already 3 days late now.
[USER_ID] The worst service I've ever faced by an E commerce website. Please i recommend don't trust these people. 
Being a prime member i should get my oder in a day but it already has been 2 day &amp; still yesterday delivery was cancelled &amp; postponed to monday.No point being prime",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",medium,4
142,"@AmazonHelp I've already taken care of it with a refund, but it is not acceptable at all. I recommend you improve the quality of your shipping because late deliveries and damaged packages are too frequent for the price of Prime.
Preordered #SonicForces for my little sister long ago from [USER_ID] and it came with the seal subtly opened and the game quite clearly stolen. What the hell is that about? #AmazonLogistics [URL]",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,4
143,[USER_ID] still waiting for my #bookofmythicality by [USER_ID] [USER_ID] [USER_ID]  😆,late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,2
144,Hey @AmazonHelp what's the point of pre-ordering if it's going to be a week late?,late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,2
145,"@AmazonHelp Alright thank you 😁
Hey @AmazonHelp i've ordered Mario Odyssey in April but it still says delivery date pending should cancel and order again ? I'm confused the game comes out in 3 days lmao",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,4
146,"@AmazonHelp This is not related to change in time... This is immediately after clicking.
What is this [USER_ID] day light cheating 
Regular price without deal is 2970 and when you press show me the deal shows 2978 (8ruppes more) and regular price goes up to 3028. Might be nominal but this is cheating in the name of ""lightning deal"" [URL]",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,4
147,"@AmazonHelp Until you control shipping, doubt there’s anything you can do other than just not promise dates until after the holidays. Of course shipping the in stock product when I ordered it and not three days later (on the original delivery date) probably could have helped.
Guess we’re to that point of the season where [USER_ID] guaranteed delivery dates don’t mean jack.",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,3
148,"@AmazonHelp Done, do check, now starts another templated response ritual I suppose?",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,3
149,"@AmazonHelp Filled it. Please fix this asap
@AmazonHelp That’s the customer care link itself which hasn’t helped at all. I was told that it would be delivered within two hours and it’s been more than 18 now.
[USER_ID] you have messed up my delivery. Waiting for my order scheduled to be delivered yesterday and customer care is only making false promises. Where is my order?",late_delivery,Auto-classified by keyword matching,auto_handle,"We're sorry for the delay. Please check your order status for the latest updates. If the package is still delayed, our support team can help investigate further.",easy,5
150,[USER_ID] missing puzzle is what i get in my package! #shameonyou #CustomerExperience #order [URL],missing_package,Auto-classified by keyword matching,auto_handle,"We understand your concern. Please verify the delivery address on your order. If the package shows as delivered but you haven't received it, please contact our support team for assistance.",easy,3
151,"[USER_ID] All my faith in Amazon being no. 1 is lost 😞. Guess it's time to shift to [USER_ID]
[USER_ID] After all its mere lip service that Amazon speaks of, extremely disappointed &amp; disheartened by the rude way I was treated in. #diw",missing_package,Auto-classified by keyword matching,auto_handle,"We understand your concern. Please verify the delivery address on your order. If the package shows as delivered but you haven't received it, please contact our support team for assistance.",easy,3
152,"[USER_ID] The driver hired by Amazon flex lied about delivering the package because he had lost it in his truck.  That's ridiculous.
[USER_ID] Your delivery system has practically no oversight and you should be ashamed for having such a piss poor system with the Amazon brand on it.
Kennedy at [USER_ID] logistics customer service was absolutely amazing and refreshing after the shit I've dealt with this week.",missing_package,Auto-classified by keyword matching,auto_handle,"We understand your concern. Please verify the delivery address on your order. If the package shows as delivered but you haven't received it, please contact our support team for assistance.",easy,5
153,"[USER_ID] pathetic service. Ordered AC on 7th october and not delivered till date. Location of order shows gwalior,my current location [URL]",missing_package,Auto-classified by keyword matching,auto_handle,"We understand your concern. Please verify the delivery address on your order. If the package shows as delivered but you haven't received it, please contact our support team for assistance.",easy,4
154,I'm so sad [USER_ID] lost my package ☹️☹️☹️,missing_package,Auto-classified by keyword matching,auto_handle,"We understand your concern. Please verify the delivery address on your order. If the package shows as delivered but you haven't received it, please contact our support team for assistance.",easy,2
155,[USER_ID] have failed thrice this festive to deliver that too without any valid reason which is really painful. Have lost faith on you now.,missing_package,Auto-classified by keyword matching,auto_handle,"We understand your concern. Please verify the delivery address on your order. If the package shows as delivered but you haven't received it, please contact our support team for assistance.",easy,3
156,"@AmazonHelp Done already!
@AmazonHelp they were not able to assist. Approaching Consumer Court! Sad service for a Prime member!!
[USER_ID] [USER_ID] One of the order is not delivered completely and apparently it isn’t eligible for a return! Please advise.",missing_package,Auto-classified by keyword matching,auto_handle,"We understand your concern. Please verify the delivery address on your order. If the package shows as delivered but you haven't received it, please contact our support team for assistance.",medium,6
157,"@AmazonHelp Thanks.  Already started a refund but when I needed it this weekend and now I wont have it.  That is very frustrating.
[USER_ID] @AmazonHelp Amazon is not supposed to take returns of our item.  Did they replace it for you?
[USER_ID] @AmazonHelp No but they refunded my order.
[USER_ID] disappointed in [USER_ID] bought the regrip and this is how I received it. As you can see this is useless.  #sadface #nogrip [URL]",refund_issue,Auto-classified by keyword matching,escalate,"We understand your concern about the refund. Please allow the standard processing time. If you haven't received it, please contact our support team for verification.",easy,5
158,"@AmazonHelp Oh I have. Only refund option is there. Now I get to wait 6 days for the book to get back, then another 2-3 days for a refund. Quality /s.
Thank you @AmazonHelp everyone knows: brand new = bent bitch [URL]",refund_issue,Auto-classified by keyword matching,escalate,"We understand your concern about the refund. Please allow the standard processing time. If you haven't received it, please contact our support team for verification.",easy,3
159,"@AmazonHelp They offered to pay me cash to keep the product said no and then sent me something to return it but I pay postage? Horrible service just want my money back on it.
Dear [USER_ID] working on a return on a purchase with Kousj has been a nightmare. Now site won't let me file an AtoZ guarantee. Wants me to pay $20 shipping I think not.. bad company and service",refund_issue,Auto-classified by keyword matching,escalate,"We understand your concern about the refund. Please allow the standard processing time. If you haven't received it, please contact our support team for verification.",medium,4
160,"@AmazonHelp No but it’s a kindle order, I accidentally bought a £30 book with with one click for a kindle I don’t own.
@AmazonHelp can you check i've actually refunded an item because i haven't got a confirmation email?",refund_issue,Auto-classified by keyword matching,escalate,"We understand your concern about the refund. Please allow the standard processing time. If you haven't received it, please contact our support team for verification.",easy,4
161,"[USER_ID] 
Order No. [PHONE]-2914730
Please refund for the product as I have requested for reverse pickup.
No help from ur side
@AmazonHelp No team has been contacting me I have been calling approx one month
@AmazonHelp I request [USER_ID] to refund immediately
[USER_ID] Please resend the link",refund_issue,Auto-classified by keyword matching,escalate,"We understand your concern about the refund. Please allow the standard processing time. If you haven't received it, please contact our support team for verification.",medium,9
162,"[USER_ID] [USER_ID] I have wasted 40 minutes trying to make an account give me back my 40 minuets
[USER_ID] [USER_ID] why do I have to pretty much hack the White House in order for you to work?🤔",account_issue,Auto-classified by keyword matching,escalate,We understand the urgency. Please contact our support team directly so they can verify your identity and help restore access to your account.,easy,3
163,"@AmazonHelp Thanks!
India Amazon Prime subscription kudurtada without Indian bank account or card???",account_issue,Auto-classified by keyword matching,escalate,We understand the urgency. Please contact our support team directly so they can verify your identity and help restore access to your account.,easy,4
164,"@AmazonHelp Had a $100.00 put on my account and now it's not there and no record of it
[USER_ID] just ripped me off for a $100.00, and I am a prime member
@AmazonHelp No, i only have 1 account, it was a gift card my husband got me
@AmazonHelp I talked to someone earlier today and was told there was nothing that can be done since I have no numbers from the card, since I scanned it
[USER_ID] No, it showed I had it, but when I got ready to use it it was no there",account_issue,Auto-classified by keyword matching,escalate,We understand the urgency. Please contact our support team directly so they can verify your identity and help restore access to your account.,medium,9
165,"@AmazonHelp Yeah it happens on the Atom website. A pop up comes up to enter my Amazon prime login and once I submit it it ask me to allow Atom to acess my account. I hit allow and it seems like it attempts to verify my account but it then goes back to original screen where I started.
Hey @AmazonHelp I'm a Prime member and when trying to sign up for the early Jumanji screening I run into an endless loop of Atom attempting to verify my prime account. Any suggestions?
@AmazonHelp 1st on Atom site I hit log in with Amazon. 2nd Amazon pop up asking me to sign in. 3rd after try to login with Amazon I get this join prime message on Atom. 4. I am a Prime member so I put my Amazon login again and I get asked to allow Atom access. I select Allow &amp; goes back to 3 [URL]
@AmazonHelp As requested I submitted a service request via email yesterday and I've yet to receive a response. It's been longer than the quoted 12 hours. I'm still unable to use my Amazon Prime login to purchase tickets to the early screening of Jumanji. Help would be appreciated.
@AmazonHelp I've tried Chrome, Firefox, and on my PC and Android phone.",account_issue,Auto-classified by keyword matching,escalate,We understand the urgency. Please contact our support team directly so they can verify your identity and help restore access to your account.,medium,8
166,"@AmazonHelp 'Dispatching now' it says. Spoken to 2 reps. 1 said tomorrow, another said don't worry it's today!
[USER_ID] @AmazonHelp You've took £450 out of my bank account yesterday and still not dispatched my Project Scorpio!Thanks for robbing me.",account_issue,Auto-classified by keyword matching,escalate,We understand the urgency. Please contact our support team directly so they can verify your identity and help restore access to your account.,easy,3
167,"[USER_ID] [USER_ID] @1469 Any exchange offer for Lenovo K8 Note on ur Diwali sale? Pl give spl offer for my K8 Note.
[USER_ID] [USER_ID] @1469 K8 Note is not there in drop down list. Give a chance to reverse a wrong phone purchased. Worst ever from Lenovo.
[USER_ID] [USER_ID] @1469 Buy back &amp; delivery option are correct. Only mobile model not showing on list. Pl add K8 Note on the list",promotion,Auto-classified by keyword matching,auto_handle,Promotional offers have specific terms and conditions. Please check the promotion details page for validity and applicable terms.,medium,10
